name,description,price,category,imageUrl,ingredients,isVegetarian,isVegan,isGlutenFree,calories,protein,carbs,fat,allergens,isFeatured,preparationTime
Classic Cheeseburger #1,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.92,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,12
Classic Cheeseburger #2,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.96,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,13
Classic Cheeseburger #3,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.22,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,15
Chocolate Lava Cake #4,"Warm chocolate cake with a molten center, served with vanilla ice cream.",8.57,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Classic Cheeseburger #5,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",8.96,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,12
Chocolate Lava Cake #6,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.29,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Garden Veggie Wrap #7,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",6.69,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,10
Garden Veggie Wrap #8,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.49,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,6
Chocolate Lava Cake #9,"Warm chocolate cake with a molten center, served with vanilla ice cream.",7.0600000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Garden Veggie Wrap #10,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.55,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,9
Classic Cheeseburger #11,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",9.280000000000001,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,14
Garden Veggie Wrap #12,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.790000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,7
Chocolate Lava Cake #13,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.15,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Chocolate Lava Cake #14,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.07,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Chocolate Lava Cake #15,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.76,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Chocolate Lava Cake #16,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.5200000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,18
Chocolate Lava Cake #17,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.6000000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Chocolate Lava Cake #18,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.3100000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Classic Cheeseburger #19,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.36,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,11
Garden Veggie Wrap #20,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.69,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,11
Classic Cheeseburger #21,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.8,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,15
Garden Veggie Wrap #22,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.47,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,10
Classic Cheeseburger #23,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",9.46,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,11
Chocolate Lava Cake #24,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.49,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,15
Classic Cheeseburger #25,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.23,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,11
Garden Veggie Wrap #26,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.88,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,8
Classic Cheeseburger #27,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.42,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,15
Garden Veggie Wrap #28,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.390000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,8
Classic Cheeseburger #29,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.9,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,14
Chocolate Lava Cake #30,"Warm chocolate cake with a molten center, served with vanilla ice cream.",8.89,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,14
Classic Cheeseburger #31,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",9.88,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,15
Chocolate Lava Cake #32,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.75,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,17
Garden Veggie Wrap #33,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.32,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,10
Garden Veggie Wrap #34,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.07,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,10
Garden Veggie Wrap #35,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.18,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,7
Classic Cheeseburger #36,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",8.43,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,13
Chocolate Lava Cake #37,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.19,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Garden Veggie Wrap #38,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.21,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,7
Garden Veggie Wrap #39,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",6.66,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,9
Chocolate Lava Cake #40,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.48,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,16
Garden Veggie Wrap #41,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.3,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,7
Garden Veggie Wrap #42,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.87,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,9
Garden Veggie Wrap #43,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",6.140000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,8
Garden Veggie Wrap #44,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.7700000000000005,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,10
Classic Cheeseburger #45,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.28,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,14
Chocolate Lava Cake #46,"Warm chocolate cake with a molten center, served with vanilla ice cream.",8.27,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,16
Garden Veggie Wrap #47,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.51,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,6
Classic Cheeseburger #48,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.27,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,11
Chocolate Lava Cake #49,"Warm chocolate cake with a molten center, served with vanilla ice cream.",8.17,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,17
Chocolate Lava Cake #50,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.99,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Classic Cheeseburger #51,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",8.32,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,12
Garden Veggie Wrap #52,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.050000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,7
Garden Veggie Wrap #53,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.470000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,11
Garden Veggie Wrap #54,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",6.5200000000000005,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,8
Garden Veggie Wrap #55,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.33,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,10
Chocolate Lava Cake #56,"Warm chocolate cake with a molten center, served with vanilla ice cream.",7.21,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,18
Garden Veggie Wrap #57,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.62,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,10
Classic Cheeseburger #58,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.09,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,11
Chocolate Lava Cake #59,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.6000000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,16
Garden Veggie Wrap #60,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.48,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,7
